item_id,item_name,tier,component_1,component_2,attack_speed_percent,attack_damage,shield_points,hull_points,hull_regen_per_sec,energy_regen_per_sec,amplitude_percent,resilience_percent,movement_speed_percent,precision_percent,starting_energy,armor,attack_range_bonus,max_energy_bonus,crit_damage_bonus,evasion_percent,unique_effect_code,unique_effect_description,flavor_text
overclocked_targeting,Overclocked Targeting,2,chronometer,chronometer,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,range_extension,Attacks hit enemies 3 grid squares further,Time dilation extends your reach
devastator_core,Devastator Core,2,amplifier,amplifier,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pierce_1,Projectiles pierce and hit additional enemy behind target,Overwhelming firepower tears through defenses
regenerative_shielding,Regenerative Shielding,2,aegis_plate,aegis_plate,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,shield_regen_combat,Shields regenerate 5% per second during combat,An ever-renewing barrier
adamantium_frame,Adamantium Frame,2,reinforced_hull,reinforced_hull,0,0,0,175,0,0,0,0,0,0,0,5,0,0,0,0,damage_resist_low_hp,25% damage reduction when below 30% hull,Refuses to die when it matters most
harmonic_amplifier,Harmonic Amplifier,2,resonator,resonator,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,energy_cost_reduction,Abilities cost 10% less energy,Efficiency through resonance
null_field_generator,Null Field Generator,2,dampener,dampener,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,status_immunity_first,First status effect each combat is negated,What cannot touch you cannot harm you
afterburner_array,Afterburner Array,2,thruster_module,thruster_module,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,15,speed_evasion,High speed grants bonus evasion,Too fast to be caught
quantum_sight,Quantum Sight,2,precision_lens,precision_lens,0,0,0,0,0,0,0,0,0,25,0,0,0,0,50,0,crit_damage_200,Critical hits deal 200% damage instead of 150%,Perfect strikes shatter reality
overcharge_matrix,Overcharge Matrix,2,capacitor,capacitor,0,0,0,0,0,0,0,0,0,0,60,0,0,20,0,0,full_energy_start,Start combat with full energy,"Strike first, strike hardest"
reactive_plating,Reactive Plating,2,ablative_coating,ablative_coating,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,reflect_10,Reflect 10% of damage back to attacker,Your aggression is your undoing
