sector_number,mothership_spawn_distance,mothership_base_speed,mothership_accel_rate,wormhole_min_distance,wormhole_max_distance,sweep_frequency_min,sweep_frequency_max,node_density_multiplier,resource_multiplier
1,8000,80,0.6,3500,5000,90,120,1.0,1.0
2,7500,82,0.7,3300,4800,85,115,1.05,1.05
3,7000,84,0.8,3100,4600,80,110,1.1,1.1
4,6500,86,0.9,2900,4400,75,105,1.15,1.15
5,6000,88,1.0,2700,4200,70,100,1.2,1.2
6,5500,90,1.1,2500,4000,65,95,1.25,1.25
7,5000,92,1.2,2400,3900,62,92,1.3,1.3
8,4800,94,1.3,2300,3800,60,90,1.35,1.35
9,4600,96,1.4,2200,3700,58,88,1.4,1.4
10,4400,98,1.5,2100,3600,55,85,1.45,1.5
11,4200,100,1.6,2000,3500,53,83,1.5,1.55
12,4000,102,1.7,1950,3450,51,81,1.55,1.6
13,3800,104,1.8,1900,3400,49,79,1.6,1.65
14,3600,106,1.9,1850,3350,47,77,1.65,1.7
15,3400,108,2.0,1800,3300,45,75,1.7,1.75
16,3200,110,2.1,1750,3250,43,73,1.75,1.8
17,3100,112,2.2,1700,3200,41,71,1.8,1.85
18,3000,114,2.3,1650,3150,40,70,1.85,1.9
19,3000,116,2.4,1600,3100,39,69,1.9,1.95
20,3000,118,2.5,1550,3050,38,68,1.95,2.0
